subject,vertical,sports,markets,finance,climate,social,conflux_score,confidence,n_divergences,interpretation,conflux_rank,group,elo
Morocco,wc2026,0.6566,0.3117,0.8683,0.93,0.0774,0.5609762416107382,low,4,CONFLUX score 0.56 — moderate outlook driven primarily by sports signal (0.66). Notable divergence: Markets signal strongly lags composite by 26%.,13,C,1920.0
Colombia,wc2026,0.5974,0.3497,0.5912,0.9433,0.3085,0.5405494407158837,low,3,CONFLUX score 0.54 — neutral outlook driven primarily by sports signal (0.60). Notable divergence: Markets signal diverges from consensus (21% gap).,14,J,1935.0
Uruguay,wc2026,0.5913,0.3765,0.7346,0.97,0.0359,0.5342625167785235,low,3,CONFLUX score 0.53 — neutral outlook driven primarily by sports signal (0.59). Notable divergence: Markets signal diverges from consensus (17% gap).,15,H,1945.0
Mexico,wc2026,0.6081,0.2329,0.6219,0.8258,0.5207,0.5287031431767337,low,2,CONFLUX score 0.53 — neutral outlook driven primarily by sports signal (0.61). Notable divergence: Markets signal strongly lags composite by 33%.,16,A,1885.0
Senegal,wc2026,0.5935,0.1846,1.0,0.8258,0.0222,0.4980126062639821,low,4,CONFLUX score 0.50 — neutral outlook driven primarily by sports signal (0.59). Notable divergence: Markets signal strongly lags composite by 34%.,17,I,1860.0
Ivory Coast,wc2026,0.5727,0.1587,0.9649,0.9474,0.0233,0.4909528747203579,low,4,CONFLUX score 0.49 — neutral outlook driven primarily by sports signal (0.57). Notable divergence: Markets signal strongly lags composite by 37%.,18,E,1845.0
Switzerland,wc2026,0.522,0.254,0.6956,0.97,0.0644,0.47140671140939605,low,3,CONFLUX score 0.47 — neutral outlook driven primarily by sports signal (0.52). Notable divergence: Markets signal strongly lags composite by 25%.,19,B,1895.0
Turkey,wc2026,0.5511,0.1134,0.3863,0.97,0.4019,0.45217070469798665,low,2,CONFLUX score 0.45 — neutral outlook driven primarily by sports signal (0.55). Notable divergence: Markets signal strongly lags composite by 37%.,20,D,1815.0
Iran,wc2026,0.4372,0.1003,0.4093,0.9567,0.91,0.4494205592841164,low,3,CONFLUX score 0.45 — adverse outlook driven primarily by sports signal (0.44). Notable divergence: Markets signal strongly lags composite by 46%.,21,G,1805.0
Australia,wc2026,0.3834,0.0879,0.6532,0.97,0.923,0.44912986577181213,low,4,CONFLUX score 0.45 — adverse outlook driven primarily by sports signal (0.38). Notable divergence: Sports signal strongly lags composite by 22%.,22,D,1795.0
Denmark,wc2026,0.5065,0.1755,0.725,0.97,0.0459,0.4458908389261745,low,4,CONFLUX score 0.45 — adverse outlook driven primarily by sports signal (0.51). Notable divergence: Markets signal strongly lags composite by 31%.,23,K,1855.0
South Korea,wc2026,0.4988,0.1426,0.7155,0.8258,0.1185,0.4260910290827741,low,4,CONFLUX score 0.43 — adverse outlook driven primarily by sports signal (0.50). Notable divergence: Markets signal strongly lags composite by 32%.,24,A,1835.0
Austria,wc2026,0.505,0.1275,0.5186,0.9433,0.1311,0.4184325279642058,low,3,CONFLUX score 0.42 — adverse outlook driven primarily by sports signal (0.51). Notable divergence: Markets signal strongly lags composite by 32%.,25,J,1825.0
Ecuador,wc2026,0.4658,0.1503,0.4577,0.9474,0.1019,0.3978905592841164,low,3,CONFLUX score 0.40 — adverse outlook driven primarily by sports signal (0.47). Notable divergence: Markets signal strongly lags composite by 27%.,26,E,1840.0
Algeria,wc2026,0.4357,0.0661,0.7933,0.9433,0.0922,0.3954751789709172,low,4,CONFLUX score 0.40 — adverse outlook driven primarily by sports signal (0.44). Notable divergence: Markets signal strongly lags composite by 40%.,27,J,1775.0
Scotland,wc2026,0.3418,0.0564,0.725,0.93,0.5604,0.38944395973154367,low,3,CONFLUX score 0.39 — adverse outlook driven primarily by sports signal (0.34). Notable divergence: Sports signal diverges from consensus (18% gap).,28,C,1765.0
Chile,wc2026,0.3925,0.0198,0.7151,0.93,0.2548,0.37156466442953023,low,3,CONFLUX score 0.37 — adverse outlook driven primarily by sports signal (0.39). Notable divergence: Markets signal strongly lags composite by 44%.,29,C,1715.0
Egypt,wc2026,0.4095,0.0765,0.3224,0.9567,0.2974,0.36104918344519016,low,2,CONFLUX score 0.36 — adverse outlook driven primarily by sports signal (0.41). Notable divergence: Markets signal strongly lags composite by 34%.,30,G,1785.0
Canada,wc2026,0.2578,0.0081,0.6833,0.97,0.6752,0.35087342281879197,low,3,CONFLUX score 0.35 — adverse outlook driven primarily by sports signal (0.26). Notable divergence: Sports signal strongly lags composite by 26%.,31,B,1690.0
DR Congo,wc2026,0.297,0.003,0.9776,0.97,0.0,0.329165033557047,low,5,CONFLUX score 0.33 — adverse outlook driven primarily by sports signal (0.30). Notable divergence: Sports signal diverges from consensus (15% gap).,32,K,1675.0
Paraguay,wc2026,0.2863,0.0255,0.8359,0.97,0.0689,0.3226908389261745,low,5,CONFLUX score 0.32 — adverse outlook driven primarily by sports signal (0.29). Notable divergence: Sports signal diverges from consensus (15% gap).,33,D,1725.0
Ukraine,wc2026,0.3117,0.0121,0.725,0.97,0.0752,0.32030513422818796,low,4,CONFLUX score 0.32 — adverse outlook driven primarily by sports signal (0.31). Notable divergence: Markets signal strongly lags composite by 41%.,34,B,
Sweden,wc2026,0.2717,0.0121,0.725,0.9474,0.22,0.3145218008948546,low,4,CONFLUX score 0.31 — adverse outlook driven primarily by sports signal (0.27). Notable divergence: Sports signal diverges from consensus (16% gap).,35,E,
Peru,wc2026,0.2479,0.0473,0.812,0.9433,0.1326,0.31217719239373604,low,5,CONFLUX score 0.31 — adverse outlook driven primarily by sports signal (0.25). Notable divergence: Sports signal diverges from consensus (19% gap).,36,F,1755.0
Tunisia,wc2026,0.3141,0.0393,0.5788,0.9433,0.0585,0.3092237695749441,low,3,CONFLUX score 0.31 — adverse outlook driven primarily by sports signal (0.31). Notable divergence: Markets signal strongly lags composite by 35%.,37,F,1745.0
Norway,wc2026,0.2917,0.0121,0.7183,0.8258,0.1778,0.30647180089485465,low,4,CONFLUX score 0.31 — adverse outlook driven primarily by sports signal (0.29). Notable divergence: Markets signal strongly lags composite by 39%.,38,I,
Venezuela,wc2026,0.2717,0.0121,0.725,0.97,0.0926,0.3040451342281879,low,4,CONFLUX score 0.30 — adverse outlook driven primarily by sports signal (0.27). Notable divergence: Markets signal strongly lags composite by 40%.,39,H,
Czechia,wc2026,0.3152,0.0322,0.66,0.8258,0.0144,0.29991035794183446,low,4,CONFLUX score 0.30 — adverse outlook driven primarily by sports signal (0.32). Notable divergence: Markets signal strongly lags composite by 34%.,40,A,1735.0
Uzbekistan,wc2026,0.2354,0.0,0.8259,0.97,0.02,0.28752,low,5,CONFLUX score 0.29 — adverse outlook driven primarily by sports signal (0.24). Notable divergence: Sports signal diverges from consensus (17% gap).,41,K,1645.0
Panama,wc2026,0.1877,0.0,0.7964,0.97,0.2067,0.28177500000000005,low,5,CONFLUX score 0.28 — adverse outlook driven primarily by climate signal (0.97). Notable divergence: Sports signal strongly lags composite by 24%.,42,L,1625.0
Iraq,wc2026,0.2909,0.006,0.5013,0.8258,0.0341,0.2685317337807607,low,3,CONFLUX score 0.27 — adverse outlook driven primarily by sports signal (0.29). Notable divergence: Markets signal strongly lags composite by 33%.,43,I,1685.0
Ghana,wc2026,0.1293,0.0,0.5418,0.97,0.5293,0.26229500000000006,low,3,CONFLUX score 0.26 — adverse outlook driven primarily by climate signal (0.97). Notable divergence: Sports signal strongly lags composite by 30%.,44,L,1655.0
Saudi Arabia,wc2026,0.1848,0.0101,0.7293,0.97,0.057,0.26130677852348994,low,5,CONFLUX score 0.26 — adverse outlook driven primarily by climate signal (0.97). Notable divergence: Sports signal diverges from consensus (21% gap).,45,H,1695.0
Bosnia,wc2026,0.1766,0.0,0.7962,0.97,0.0378,0.25987000000000005,low,5,CONFLUX score 0.26 — adverse outlook driven primarily by climate signal (0.97). Notable divergence: Sports signal diverges from consensus (22% gap).,46,B,1635.0
South Africa,wc2026,0.1632,0.0,0.5686,0.8258,0.3093,0.24380666666666667,low,3,CONFLUX score 0.24 — adverse outlook driven primarily by climate signal (0.83). Notable divergence: Sports signal diverges from consensus (21% gap).,47,A,1665.0
New Zealand,wc2026,0.08,0.0,0.6528,0.9567,0.1733,0.2142766666666667,low,4,CONFLUX score 0.21 — adverse outlook driven primarily by climate signal (0.96). Notable divergence: Sports signal strongly lags composite by 29%.,48,G,1605.0
